
   truth table	   fadD	pLuxStar	   pBAD	 galEP2	  BM3R1	   SrpR	 HlyIIR	   PhlF	   AmtR	    YFP	    BFP	    GFP	    RFP	
   [ 0 0 0 0 ]	   0.01	   0.03	   0.01	   0.01	   0.01	   0.01	   2.50	   2.63	   3.68	   0.00	   0.00	   0.00	   1.47	
   [ 0 0 0 1 ]	   2.50	   0.03	   0.01	   0.01	   0.01	   0.01	   2.50	   2.63	   0.07	   0.00	   0.00	   0.00	   0.03	
   [ 0 0 1 0 ]	   0.01	   0.31	   0.01	   0.01	   0.01	   2.08	   2.50	   0.01	   3.68	   0.00	   0.00	   0.83	   1.47	
   [ 0 0 1 1 ]	   2.50	   0.31	   0.01	   0.01	   0.01	   0.01	   2.50	   0.01	   0.07	   0.00	   0.00	   0.00	   0.03	
   [ 0 1 0 0 ]	   0.01	   0.03	   2.50	   0.01	   0.01	   0.01	   2.50	   2.63	   3.68	   1.00	   0.00	   0.00	   1.47	
   [ 0 1 0 1 ]	   2.50	   0.03	   2.50	   0.01	   0.01	   0.01	   2.50	   2.63	   0.07	   1.00	   0.00	   0.00	   0.03	
   [ 0 1 1 0 ]	   0.01	   0.31	   2.50	   0.01	   0.01	   2.08	   2.50	   0.01	   3.68	   1.00	   0.00	   0.83	   1.47	
   [ 0 1 1 1 ]	   2.50	   0.31	   2.50	   0.01	   0.01	   0.01	   2.50	   0.01	   0.07	   1.00	   0.00	   0.00	   0.03	
   [ 1 0 0 0 ]	   0.01	   0.03	   0.01	   2.50	   0.43	   0.01	   0.07	   2.63	   3.68	   0.00	   0.17	   0.00	   1.47	
   [ 1 0 0 1 ]	   2.50	   0.03	   0.01	   2.50	   0.01	   0.01	   0.07	   2.63	   0.07	   0.00	   0.00	   0.00	   0.03	
   [ 1 0 1 0 ]	   0.01	   0.31	   0.01	   2.50	   0.43	   2.08	   0.07	   0.01	   3.68	   0.00	   0.17	   0.83	   1.47	
   [ 1 0 1 1 ]	   2.50	   0.31	   0.01	   2.50	   0.01	   0.01	   0.07	   0.01	   0.07	   0.00	   0.00	   0.00	   0.03	
   [ 1 1 0 0 ]	   0.01	   0.03	   2.50	   2.50	   0.43	   0.01	   0.07	   2.63	   3.68	   1.00	   0.17	   0.00	   1.47	
   [ 1 1 0 1 ]	   2.50	   0.03	   2.50	   2.50	   0.01	   0.01	   0.07	   2.63	   0.07	   1.00	   0.00	   0.00	   0.03	
   [ 1 1 1 0 ]	   0.01	   0.31	   2.50	   2.50	   0.43	   2.08	   0.07	   0.01	   3.68	   1.00	   0.17	   0.83	   1.47	
   [ 1 1 1 1 ]	   2.50	   0.31	   2.50	   2.50	   0.01	   0.01	   0.07	   0.01	   0.07	   1.00	   0.00	   0.00	   0.03	
